   BENCHMARK INFORMATION
benchmark:          draft
date:               Wed, 2016-04-27 12:17:28 ART
tool:               CPAchecker 1.5-svn 1106192+
CPU cores used:     1
------------------------------------------------------------

   SYSTEM INFORMATION
host:               circulito
os:                 Linux 3.13.0-85-generic x86_64
cpu:                Intel Core i7-3770 CPU @ 3.40GHz
- cores:            8
- max frequency:    3901.0 MHz
ram:                16714.051584 MB
------------------------------------------------------------



generate-explicit.original
Run set 1 of 6: skipped 


generate-predicate.original
Run set 2 of 6: skipped 


produce-witnesses-unexplored-predicate-from-explicit.original
Run set 3 of 6 with options '-heap 12000M -config test-configs/components/predicateAnalysis-generate-and-use-cmc-condition-print-specified-calls.properties -setprop limits.time.cpu=900s -setprop specification=${sourcefile_path}/${sourcefile_name}.explicit.assumption_automaton,test-configs/specification/AssumptionGuidingAutomaton.spc,test-configs/my-specification/detect-unexplored-calls.spc -outputpath benchexec-outputs/${inputfile_name}/${rundefinition_name}/${benchmark_date}/ -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
drivers64/pktcdvd.BUG.c           false(reach)                 26.46       26.48        None   20.784s    0.004s      None
drivers64/ppp_generic.BUG.c       false(reach)                117.53      117.61        None   98.769s    0.073s      None
drivers64/pppox.c                 ERROR                         3.63        3.64        None    2.630s      None      None
drivers64/synclink_gt.BUG.c       false(reach)                 37.97       38.01        None   31.082s    0.018s      None
drivers64/ttusb_dec.BUG.c         false(reach)                 47.77       47.83        None   42.809s    0.120s      None
drivers64/usbcore.BUG.c           ERROR                        15.57       15.59        None   11.722s      None      None
drivers64/usbmouse.BUG.c          false(reach)                 31.88       31.91        None   28.427s    0.066s      None
--------------------------------------------------------------------------------------------------------------------------
Run set 4                         done                       8948.95     8959.14           -


produce-witnesses-unexplored-explicit-from-explicit.original
Run set 5 of 6 with options '-heap 12000M -config test-configs/extend/explicitAnalysis.properties -setprop limits.time.cpu=900s -setprop specification=${sourcefile_path}/${sourcefile_name}.explicit.assumption_automaton,test-configs/specification/AssumptionGuidingAutomaton.spc,test-configs/my-specification/detect-unexplored-calls.spc -outputpath benchexec-outputs/${inputfile_name}/${rundefinition_name}/${benchmark_date}/ -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
--------------------------------------------------------------------------------------------------------------------------
systemc/bist_cell.c               ERROR                         2.44        2.53        None    1.447s      None      None
systemc/kundu.c                   ERROR                         2.65        2.66        None    1.571s      None      None
systemc/kundu1_BUG.c              false(reach)                  8.85        8.90        None    5.777s    0.002s      None
systemc/kundu2_BUG.c              false(reach)                 10.28       10.30        None    6.542s    0.005s      None
systemc/mem_slave_tlm.1.c         ERROR                         3.34        3.37        None    1.931s      None      None
systemc/mem_slave_tlm.2.c         ERROR                         3.32        3.34        None    1.880s      None      None
systemc/mem_slave_tlm.3.c         ERROR                         3.38        3.40        None    1.910s      None      None
systemc/mem_slave_tlm.4.c         ERROR                         3.25        3.27        None    1.886s      None      None
systemc/mem_slave_tlm.5.c         ERROR                         3.39        3.39        None    1.953s      None      None
systemc/pc_sfifo_1.c              unknown                     921.52      921.48        None  900.177s    0.038s      None
systemc/pc_sfifo_1_BUG.c          unknown                     922.58      922.54        None  900.171s    0.038s      None
systemc/pc_sfifo_2.c              unknown                     946.79      946.74        None  900.173s    0.026s      None
systemc/pc_sfifo_2_BUG.c          unknown                     948.81      948.77        None  900.172s    0.064s      None
systemc/pc_sfifo_3.c              ERROR                         2.56        2.58        None    1.526s      None      None
systemc/pipeline.c                unknown                    1621.91     1622.35        None  900.288s    0.217s      None
systemc/pipeline_BUG.c            false(reach)                 74.95       75.25        None   26.895s    0.045s      None
systemc/token_ring.01.BUG.c       unknown                     922.18      922.20        None  900.187s    0.032s      None
systemc/token_ring.01.c           unknown                     923.50      923.45        None  900.172s    0.022s      None
systemc/token_ring.02.BUG.c       unknown                     942.67      942.63        None  900.176s    0.043s      None
systemc/token_ring.02.c           unknown                     941.72      941.69        None  900.225s    0.031s      None
systemc/token_ring.03.BUG.c       unknown                     971.77      971.72        None  900.163s    0.047s      None
systemc/token_ring.03.c           unknown                     971.87      971.84        None  900.181s    0.068s      None
systemc/token_ring.04.BUG.c       unknown                     995.72      995.69        None  900.183s    0.042s      None
systemc/token_ring.04.c           unknown                    1014.36     1014.32        None  900.193s    0.068s      None
systemc/token_ring.05.BUG.c       unknown                    1035.14     1035.12        None  900.184s    0.091s      None
systemc/token_ring.05.c           unknown                    1070.54     1070.55        None  900.176s    0.061s      None
systemc/token_ring.06.BUG.c       unknown                    1063.00     1062.97        None  900.196s    0.089s      None
systemc/token_ring.06.c           unknown                    1126.30     1126.29        None  900.189s    0.083s      None
systemc/token_ring.07.BUG.c       unknown                    1178.24     1178.23        None  900.192s    0.067s      None
systemc/token_ring.07.c           unknown                    1208.17     1208.18        None  900.199s    0.076s      None
systemc/token_ring.08.BUG.c       unknown                    1199.69     1199.69        None  900.201s    0.108s      None
systemc/token_ring.08.c           unknown                    1286.16     1286.22        None  900.225s    0.084s      None
systemc/token_ring.09.BUG.c       unknown                    1360.58     1360.64        None  900.186s    0.124s      None
systemc/token_ring.14.BUG.c       false(reach)                 23.00       23.02        None   12.172s    0.010s      None
systemc/toy.c                     unknown                     966.27      969.75        None  901.393s    1.158s      None
systemc/toy1_BUG.c                false(reach)                 12.74       13.13        None    8.123s    0.019s      None
systemc/toy2_BUG.c                false(reach)                 12.50       13.30        None    8.799s    0.013s      None
systemc/transmitter.01.BUG.c      false(reach)                  6.40        6.42        None    4.221s    0.005s      None
systemc/transmitter.02.BUG.c      false(reach)                  7.78        7.80        None    5.163s    0.001s      None
systemc/transmitter.03.BUG.c      false(reach)                 10.15       10.16        None    6.572s    0.005s      None
systemc/transmitter.04.BUG.c      false(reach)                 13.17       13.21        None    7.885s    0.003s      None
systemc/transmitter.05.BUG.c      false(reach)                 16.40       16.42        None    9.623s    0.005s      None
systemc/transmitter.06.BUG.c      false(reach)                 18.66       18.82        None   10.957s    0.043s      None
systemc/transmitter.07.BUG.c      false(reach)                 22.02       22.07        None   12.071s    0.011s      None
systemc/transmitter.08.BUG.c      false(reach)                 24.73       24.79        None   13.063s    0.029s      None
systemc/transmitter.09.BUG.c      false(reach)                 28.85       28.88        None   14.803s    0.014s      None
systemc/transmitter.10.BUG.c      false(reach)                 34.19       34.22        None   16.169s    0.043s      None
